event_name,name,state/unit
RECURVE MEN,Kodandapani Tharuneesh Jathya,Andhra Pradesh
RECURVE MEN,Agastay Singh,Haryana
RECURVE MEN,Somanath Hembram,Odisha
RECURVE MEN,Rairoth Sai Mourya,Andhra Pradesh
RECURVE MEN,Divyansh Chaudhary,Haryana
RECURVE MEN,Krushna Munda,Odisha
RECURVE MEN,Mukalla Jayandra Naidu,Andhra Pradesh
RECURVE MEN,Paras Hooda,Haryana
RECURVE MEN,Suresh Wika,Odisha
RECURVE MEN,Gorrepati Venkata Sai Manideep Reddy,Andhra Pradesh
RECURVE MEN,Daksh Malik,Haryana
RECURVE MEN,Dilip Kumar Tangul,Odisha
RECURVE MEN,Tikap Nokbi,Arunachal Pradesh
RECURVE MEN,Pratuat Kumar,Himachal Pradesh
RECURVE MEN,Aditya Wadhwa,Punjab
RECURVE MEN,Wangsun Hakhun,Arunachal Pradesh
RECURVE MEN,Shivang Jagta,Himachal Pradesh
RECURVE MEN,Nikhil,Punjab
RECURVE MEN,Bishal Changmai,Assam
RECURVE MEN,Pariv Khajuria,Jammu & Kashmir
RECURVE MEN,Keshav Rajoria,Punjab
RECURVE MEN,Hitaditya Das,Assam
RECURVE MEN,Pranav Singh,Jammu & Kashmir
RECURVE MEN,Adesh Partap,Punjab
RECURVE MEN,Kwrwmdaw Basumatary,Assam
RECURVE MEN,Niteen Sharma,Jammu & Kashmir
RECURVE MEN,Mahesh Kumawat,Rajasthan
RECURVE MEN,Dishan Doley,Assam
RECURVE MEN,Abhinav Bakshi,Jammu & Kashmir
RECURVE MEN,Krish Kumar,Rajasthan
RECURVE MEN,Shubham Kumar,Bihar
RECURVE MEN,Vishnu Choudhary,Jharkhand
RECURVE MEN,Anil Choudhary,Rajasthan
RECURVE MEN,Aryan Kumar,Bihar
RECURVE MEN,Goldi Mishra,Jharkhand
RECURVE MEN,Rahul Kumar Nagarwal,Rajasthan
RECURVE MEN,Samarth Kumar,Bihar
RECURVE MEN,Alpi Tudu,Jharkhand
RECURVE MEN,Smaran Sarvesh,Tamilnadu
RECURVE MEN,Rahul Kumar,Bihar
RECURVE MEN,Aditya Roy,Jharkhand
RECURVE MEN,Rishwant Selvam,Tamilnadu
RECURVE MEN,Divyansh Kumar,Chandigarh
RECURVE MEN,Amit Kumar,Madhya Pradesh
RECURVE MEN,A.M. Anand,Tamilnadu
RECURVE MEN,Gurhans Singh,Chandigarh
RECURVE MEN,Nitin Kumar Yadav,Madhya Pradesh
RECURVE MEN,M.K.Indrajith,Tamilnadu
RECURVE MEN,Gaurang Gupta,Chandigarh
RECURVE MEN,Tejas Gupta,Madhya Pradesh
RECURVE MEN,Balle Gangaraju,Telangana
RECURVE MEN,Hariom,Chandigarh
RECURVE MEN,Ankush Eknath Masne,Maharashtra
RECURVE MEN,Mogili Vasanth,Telangana
RECURVE MEN,Gitesh Yadav,Chhattisgarh
RECURVE MEN,Siddharth Nilesh Sakhare,Maharashtra
RECURVE MEN,Varun Sonti,Telangana
RECURVE MEN,Kuber Singh Jagat,Chhattisgarh
RECURVE MEN,Ankur Kiran Athare,Maharashtra
RECURVE MEN,Santosh Dutta,Telangana
RECURVE MEN,Tarunjangde,Chhattisgarh
RECURVE MEN,Sairaj Dinesh Hanme,Maharashtra
RECURVE MEN,Aryan Rana,Uttar Pradesh
RECURVE MEN,Devendra Kumar,Chhattisgarh
RECURVE MEN,Leishangthem Yuhenba Meetei,Manipur
RECURVE MEN,Bharat Kumar Singh,Uttar Pradesh
RECURVE MEN,Harshit Pal,Delhi
RECURVE MEN,Md Amir Arshad Khan,Manipur
RECURVE MEN,Ujjwal Dhama,Uttar Pradesh
RECURVE MEN,Ansh Tanwar,Delhi
RECURVE MEN,Akoijam Amarjit Singh,Manipur
RECURVE MEN,Rohit Kumar,Uttar Pradesh
RECURVE MEN,Aryan Dabas,Delhi
RECURVE MEN,Elangbam Orbit Singh,Manipur
RECURVE MEN,Harshit Kumar,Uttarakhand
RECURVE MEN,Shauryaveer Singh,Delhi
RECURVE MEN,Devraj Mohaptra,Meghalaya
RECURVE MEN,Naitik Chauhan,Uttarakhand
RECURVE MEN,Sameer Bauri,SPSB
RECURVE MEN,Hypormi Wanniang,Meghalaya
RECURVE MEN,Anish Singh,Uttarakhand
RECURVE MEN,Ronak Lakra,SPSB
RECURVE MEN,Vivek Sunar,Meghalaya
RECURVE MEN,Tanmay Thapa,Uttarakhand
RECURVE MEN,Ruhul Arifbhai Mansuri,Gujarat
RECURVE MEN,Amebalaker Wanniang,Meghalaya
RECURVE MEN,Juyel Sarkar,West Bengal
RECURVE MEN,Rathod Parthivrajsinh Hardevsinh,Gujarat
RECURVE MEN,Sangamithran,Pondicherry
RECURVE MEN,Dhananjoy Roy,West Bengal
RECURVE MEN,Rathod Pruthviraj Hardevsinh,Gujarat
RECURVE MEN,Pratik Kumar Saha,SPSB
RECURVE MEN,Yash Deshwal,West Bengal
RECURVE MEN,Kantariya Abhaybhai Jagadishbhai,Gujarat
RECURVE MEN,Adarsh Prasad,SPSB
RECURVE MEN,Abir Ghosh,West Bengal
RECURVE MEN,Pranav Krishna Ks,Kerala
RECURVE MEN,Rahul,SSCB
RECURVE WOMEN,Tadiboina Bhuvana Rajeswari,Andhra Pradesh
RECURVE WOMEN,Soniya Kumari,Jharkhand
RECURVE WOMEN,Manvi Sharma,Punjab
RECURVE WOMEN,Tadiboina Vyshnavi,Andhra Pradesh
RECURVE WOMEN,Tamanna Verma,Jharkhand
RECURVE WOMEN,Aakriti,Punjab
RECURVE WOMEN,Kondapavuluri Yuktha Sri,Andhra Pradesh
RECURVE WOMEN,Neha Nag,Jharkhand
RECURVE WOMEN,Jasmeet Kaur,Punjab
RECURVE WOMEN,Kavali Poojitha,Andhra Pradesh
RECURVE WOMEN,Sabitri Kumari,Jharkhand
RECURVE WOMEN,Shristhi Singh,Punjab
RECURVE WOMEN,Anisha Das,Assam
RECURVE WOMEN,Navya Lakshmi P,Kerala
RECURVE WOMEN,Sanjana Bishnoi,Rajasthan
RECURVE WOMEN,Anwesha Bhaskar,Assam
RECURVE WOMEN,Soniya Thakur,Madhya Pradesh
RECURVE WOMEN,Dhriti Sharma,Rajasthan
RECURVE WOMEN,Shimantika Rabha,Assam
RECURVE WOMEN,Vitasa Thakur,Madhya Pradesh
RECURVE WOMEN,Srashti Vyas,Rajasthan
RECURVE WOMEN,Daimu Basumatary,Assam
RECURVE WOMEN,Jahnvi Deshmukh,Madhya Pradesh
RECURVE WOMEN,Khushi Kumawat,Rajasthan
RECURVE WOMEN,Punam Singh,Bihar
RECURVE WOMEN,Kratika Bichpuriya,Madhya Pradesh
RECURVE WOMEN,Aishwarya Rajinikanth,Tamilnadu
RECURVE WOMEN,Arpana Gupta,Bihar
RECURVE WOMEN,Vaishnavi Babarao Pawar,Maharashtra
RECURVE WOMEN,Kanmani A B,Tamilnadu
RECURVE WOMEN,Raj Laxmi,Bihar
RECURVE WOMEN,Mukta Deepak Modgi,Maharashtra
RECURVE WOMEN,J.Thowfeena Begam,Tamilnadu
RECURVE WOMEN,Diya Kumari,Bihar
RECURVE WOMEN,Kumkum Anil Mohod,Maharashtra
RECURVE WOMEN,Kanaga Tarra S V,Tamilnadu
RECURVE WOMEN,Srishti Jaiswal,Chandigarh
RECURVE WOMEN,Rutuja,Maharashtra
RECURVE WOMEN,Chinmayi Tirunagari,Telangana
RECURVE WOMEN,Satyabhama Sahoo,Chhattisgarh
RECURVE WOMEN,Sorokhaibam Melody Devi,Manipur
RECURVE WOMEN,Samala Nageshwari,Telangana
RECURVE WOMEN,Daksha Yadav,Chhattisgarh
RECURVE WOMEN,Laiphrakpam Rabina Devi,Manipur
RECURVE WOMEN,Munjala Spurthi,Telangana
RECURVE WOMEN,Mahi Jangde,Chhattisgarh
RECURVE WOMEN,Yumnam Sanamanbi Chanu,Manipur
RECURVE WOMEN,Channagiri Aowchitya,Telangana
RECURVE WOMEN,Dristi Drall,Delhi
RECURVE WOMEN,Yumnam Anupama Devi,Manipur
RECURVE WOMEN,Chesta,Uttar Pradesh
RECURVE WOMEN,Mohika Mathur,Delhi
RECURVE WOMEN,Deisngidasuk Hoojon,Meghalaya
RECURVE WOMEN,Khushi Kumari,Uttar Pradesh
RECURVE WOMEN,Ishita Mathur,Delhi
RECURVE WOMEN,Navydisha Kokil Kapoor,Meghalaya
RECURVE WOMEN,Krishna,Uttar Pradesh
RECURVE WOMEN,Pinki,Delhi
RECURVE WOMEN,Andrica Nongsiej,Meghalaya
RECURVE WOMEN,Shikha,Uttar Pradesh
RECURVE WOMEN,Bhagora Bhargavi Vargishkumar,Gujarat
RECURVE WOMEN,Aphiiarisuk Lyngdoh Rngaid,Meghalaya
RECURVE WOMEN,Ananya Bisht,Uttarakhand
RECURVE WOMEN,Padhiyar Maitriben Arvindbhai,Gujarat
RECURVE WOMEN,Mamita Oram,Odisha
RECURVE WOMEN,Kirti,Uttarakhand
RECURVE WOMEN,Meshva Hasmukhbhai Patel,Gujarat
RECURVE WOMEN,Manaswari Hasdak,Odisha
RECURVE WOMEN,Basanti Mahato,West Bengal
RECURVE WOMEN,Rabari Ishaben Ratabhai,Gujarat
RECURVE WOMEN,Mamata Saronia,Odisha
RECURVE WOMEN,Purbasa Paul,West Bengal
RECURVE WOMEN,Bhajan Kaur,Haryana
RECURVE WOMEN,Ujjaini Keshri,Odisha
RECURVE WOMEN,Chaudhari Hetvi Mukesh,West Bengal
RECURVE WOMEN,Avni,Haryana
RECURVE WOMEN,Kanshika Sri,Pondicherry
RECURVE WOMEN,Anjali Kumari,West Bengal
RECURVE WOMEN,Shweta Singh,Haryana
RECURVE WOMEN,Neha,Pondicherry
RECURVE WOMEN,Naysha Purty,SPSB
RECURVE WOMEN,Kirtisharma,Haryana
RECURVE WOMEN,Rithika,Pondicherry
RECURVE WOMEN,Swati Kumari,SPSB
RECURVE WOMEN,Tisha Punia,RSPB
RECURVE WOMEN,Kshma Pisda,Chhattisgarh
RECURVE WOMEN,Sanjana Majhi,SPSB
INDIAN ROUND MEN,Guduru Venkata Lokesh,Andhra Pradesh
INDIAN ROUND MEN,Surya Sharma,Himachal Pradesh
INDIAN ROUND MEN,Kirish,Pondicherry
INDIAN ROUND MEN,Sode Desaiah,Andhra Pradesh
INDIAN ROUND MEN,Aadarsh Chandel,Himachal Pradesh
INDIAN ROUND MEN,Dharshan,Pondicherry
INDIAN ROUND MEN,Akumala Sathwik,Andhra Pradesh
INDIAN ROUND MEN,Varun,Himachal Pradesh
INDIAN ROUND MEN,Richhav Kamboj,Punjab
INDIAN ROUND MEN,Nalli Tejeswara Rao,Andhra Pradesh
INDIAN ROUND MEN,Abhilakshay Thakur,Himachal Pradesh
INDIAN ROUND MEN,Gurmann Kamboj,Punjab
INDIAN ROUND MEN,Kengam Loya,Arunachal Pradesh
INDIAN ROUND MEN,Layak Dhar,Jammu & Kashmir
INDIAN ROUND MEN,Khushant Beniwal,Punjab
INDIAN ROUND MEN,Gichik Dopum,Arunachal Pradesh
INDIAN ROUND MEN,Ashank Jandyal,Jammu & Kashmir
INDIAN ROUND MEN,Surinder Singh,Punjab
INDIAN ROUND MEN,Taba Jamsai,Arunachal Pradesh
INDIAN ROUND MEN,Arisht Sharma,Jammu & Kashmir
INDIAN ROUND MEN,Ramdev Dhobi,Rajasthan
INDIAN ROUND MEN,Nabam Akash,Arunachal Pradesh
INDIAN ROUND MEN,Mohit Kumar,Jharkhand
INDIAN ROUND MEN,Vikas Yadav Se,Rajasthan
INDIAN ROUND MEN,Ritumoni Swargiary,Assam
INDIAN ROUND MEN,Sunil Kumhar,Jharkhand
INDIAN ROUND MEN,Rohit Kumawat,Rajasthan
INDIAN ROUND MEN,Nareswar Baro,Assam
INDIAN ROUND MEN,Rahul Mahato,Jharkhand
INDIAN ROUND MEN,Pawan Kumawat,Rajasthan
INDIAN ROUND MEN,Monu Das,Assam
INDIAN ROUND MEN,Sunil Hessa,Jharkhand
INDIAN ROUND MEN,Arian Rai,Sikkim
INDIAN ROUND MEN,Shyam Kanu Rabha,Assam
INDIAN ROUND MEN,Abhijith Vm,Kerala
INDIAN ROUND MEN,Azeeb Rai,Sikkim
INDIAN ROUND MEN,Adarsh Kumar,Bihar
INDIAN ROUND MEN,Sourav C N,Kerala
INDIAN ROUND MEN,Tshering Norbu Bhutia,Sikkim
INDIAN ROUND MEN,Karan Kumar,Bihar
INDIAN ROUND MEN,Nandhu Ev,Kerala
INDIAN ROUND MEN,Santhosh Sanjay,Tamilnadu
INDIAN ROUND MEN,Aman Kumar,Bihar
INDIAN ROUND MEN,Shaun John Antony,Kerala
INDIAN ROUND MEN,L.Manikandan,Tamilnadu
INDIAN ROUND MEN,Nirbhay Kumar Singh,Bihar
INDIAN ROUND MEN,Dhananjay Singh Solanki,Madhya Pradesh
INDIAN ROUND MEN,V.Muhil Ram,Tamilnadu
INDIAN ROUND MEN,Toran Yadaw,Chhattisgarh
INDIAN ROUND MEN,Guru Namdev,Madhya Pradesh
INDIAN ROUND MEN,M.Hariprasad,Tamilnadu
INDIAN ROUND MEN,Sunil Modiyam,Chhattisgarh
INDIAN ROUND MEN,Daksh Singh Rathore,Madhya Pradesh
INDIAN ROUND MEN,Komaram Ramcharan,Telangana
INDIAN ROUND MEN,Kamlesh Sahu,Chhattisgarh
INDIAN ROUND MEN,Avnish Kumar Panika,Madhya Pradesh
INDIAN ROUND MEN,Muthi Charan,Telangana
INDIAN ROUND MEN,Prem Prakash Yadav,Chhattisgarh
INDIAN ROUND MEN,Surendra Rajesh Aagre,Maharashtra
INDIAN ROUND MEN,A.Yashwanth Yadav,Telangana
INDIAN ROUND MEN,Krishna,Delhi
INDIAN ROUND MEN,Vedant Tushar Mahajan,Maharashtra
INDIAN ROUND MEN,Balle Adarsh,Telangana
INDIAN ROUND MEN,Abhishek Kumar,Delhi
INDIAN ROUND MEN,Prathamesh Vikram Parte,Maharashtra
INDIAN ROUND MEN,Abhishek,Uttar Pradesh
INDIAN ROUND MEN,Zubair Khan,Delhi
INDIAN ROUND MEN,Harshal Prakash Dait,Maharashtra
INDIAN ROUND MEN,Subham,Uttar Pradesh
INDIAN ROUND MEN,Aman Gupta,Delhi
INDIAN ROUND MEN,Yumnam Jackshon,Manipur
INDIAN ROUND MEN,Harsh Vardhan Singh,Uttar Pradesh
INDIAN ROUND MEN,Taral Rahulbhai Nagajibhai,Gujarat
INDIAN ROUND MEN,Chingakham Bison Singh,Manipur
INDIAN ROUND MEN,Ujjwal Mudgal,Uttar Pradesh
INDIAN ROUND MEN,Dubhil Jashvinbhai,Gujarat
INDIAN ROUND MEN,Sandham Jenibash Singh.,Manipur
INDIAN ROUND MEN,Himanshu Tomar,Uttarakhand
INDIAN ROUND MEN,Shiyal Dilip Bhupatbhai,Gujarat
INDIAN ROUND MEN,Yumnam Bishan Singh,Manipur
INDIAN ROUND MEN,Naman,Uttarakhand
INDIAN ROUND MEN,Bhaumik Vankar,Gujarat
INDIAN ROUND WOMEN,Kavali Akhila,Andhra Pradesh
INDIAN ROUND WOMEN,Pranjal,Haryana
INDIAN ROUND WOMEN,Basanti Gope,Jharkhand
INDIAN ROUND WOMEN,Sode Sravani,Andhra Pradesh
INDIAN ROUND WOMEN,Komal,Haryana
INDIAN ROUND WOMEN,Priyanka Gope,Jharkhand
INDIAN ROUND WOMEN,Mediboina Likitha,Andhra Pradesh
INDIAN ROUND WOMEN,Kavita,Haryana
INDIAN ROUND WOMEN,Khushboo Kumari,Jharkhand
